 x ,            1  ,            2  ,            3  ,            4  ,            5  ,            6  ,           34  ,            7  ,            8  ,            9  ,           10  ,           11  ,           12  ,           13  ,           14  ,           15  ,           16  ,           17  ,           18  ,           19  ,           20  ,           21  ,           22  ,           23  ,           24  ,           25  ,           26  ,           27  ,           28  ,           29  ,           30  ,           31  ,           32  ,           33  ,           35  , 
   1.0000000000000000       ,    8.5032515044720411E-013  ,    8.5032515044720411E-013  ,    8.5032515044720411E-013  ,    8.5032515044720411E-013  ,    8.5032515044720411E-013  ,    8.5032515044720411E-013  ,    3.3033825395939264E-012  ,    2.9958852841744558E-011  ,    2.9958852841744558E-011  ,    2.9958852841744558E-011  ,    2.9958852841744558E-011  ,    2.9958852841744558E-011  ,    2.9958852841744558E-011  ,    2.9958852841744558E-011  ,    2.9958852841744558E-011  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    4.3252224802095051E-008  ,    1.4961834484192635E-012  , 
   1.9900000000000000       ,    1.2342809334267298E-012  ,    1.2342809334267298E-012  ,    1.2342809334267298E-012  ,    1.2342809334267298E-012  ,    1.2342809334267298E-012  ,    1.2342809334267298E-012  ,    2.3050327664744844E-012  ,    7.0491528290725199E-011  ,    7.0491528290725199E-011  ,    7.0491528290725199E-011  ,    7.0491528290725199E-011  ,    7.0491528290725199E-011  ,    7.0491528290725199E-011  ,    7.0491528290725199E-011  ,    7.0491528290725199E-011  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    7.7279443342614933E-008  ,    1.1244473465993204E-012  , 
   2.9800000000000000       ,    1.4669481867627523E-012  ,    1.4669481867627523E-012  ,    1.4669481867627523E-012  ,    1.4669481867627523E-012  ,    1.4669481867627523E-012  ,    1.4669481867627523E-012  ,    1.8583016401320952E-012  ,    1.0317161898002911E-010  ,    1.0317161898002911E-010  ,    1.0317161898002911E-010  ,    1.0317161898002911E-010  ,    1.0317161898002911E-010  ,    1.0317161898002911E-010  ,    1.0317161898002911E-010  ,    1.0317161898002911E-010  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.9844829594864919E-008  ,    9.7603287285033376E-013  , 
   3.9700000000000002       ,    1.6201713171675097E-012  ,    1.6201713171675097E-012  ,    1.6201713171675097E-012  ,    1.6201713171675097E-012  ,    1.6201713171675097E-012  ,    1.6201713171675097E-012  ,    1.5853895440047305E-012  ,    1.2768834007351126E-010  ,    1.2768834007351126E-010  ,    1.2768834007351126E-010  ,    1.2768834007351126E-010  ,    1.2768834007351126E-010  ,    1.2768834007351126E-010  ,    1.2768834007351126E-010  ,    1.2768834007351126E-010  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    1.1509245743998349E-007  ,    8.9991135417560634E-013  , 
   4.9600000000000000       ,    1.7286031166376704E-012  ,    1.7286031166376704E-012  ,    1.7286031166376704E-012  ,    1.7286031166376704E-012  ,    1.7286031166376704E-012  ,    1.7286031166376704E-012  ,    1.3972767874540083E-012  ,    1.4628126230595728E-010  ,    1.4628126230595728E-010  ,    1.4628126230595728E-010  ,    1.4628126230595728E-010  ,    1.4628126230595728E-010  ,    1.4628126230595728E-010  ,    1.4628126230595728E-010  ,    1.4628126230595728E-010  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    1.2594003693586579E-007  ,    8.5902775813672975E-013  , 
   5.9500000000000002       ,    1.8093742344017266E-012  ,    1.8093742344017266E-012  ,    1.8093742344017266E-012  ,    1.8093742344017266E-012  ,    1.8093742344017266E-012  ,    1.8093742344017266E-012  ,    1.2554182127082780E-012  ,    1.6072064331393991E-010  ,    1.6072064331393991E-010  ,    1.6072064331393991E-010  ,    1.6072064331393991E-010  ,    1.6072064331393991E-010  ,    1.6072064331393991E-010  ,    1.6072064331393991E-010  ,    1.6072064331393991E-010  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    1.3401105424035535E-007  ,    8.3703489850985394E-013  , 
   6.9400000000000004       ,    1.8718682468290750E-012  ,    1.8718682468290750E-012  ,    1.8718682468290750E-012  ,    1.8718682468290750E-012  ,    1.8718682468290750E-012  ,    1.8718682468290750E-012  ,    1.1410560970612811E-012  ,    1.7220336154962202E-010  ,    1.7220336154962202E-010  ,    1.7220336154962202E-010  ,    1.7220336154962202E-010  ,    1.7220336154962202E-010  ,    1.7220336154962202E-010  ,    1.7220336154962202E-010  ,    1.7220336154962202E-010  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    1.4023595419157342E-007  ,    8.2576435262410013E-013  , 
   7.9299999999999997       ,    1.9216548651884937E-012  ,    1.9216548651884937E-012  ,    1.9216548651884937E-012  ,    1.9216548651884937E-012  ,    1.9216548651884937E-012  ,    1.9216548651884937E-012  ,    1.0443885655098426E-012  ,    1.8152896545338760E-010  ,    1.8152896545338760E-010  ,    1.8152896545338760E-010  ,    1.8152896545338760E-010  ,    1.8152896545338760E-010  ,    1.8152896545338760E-010  ,    1.8152896545338760E-010  ,    1.8152896545338760E-010  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    1.4517701900527441E-007  ,    8.2082271938607633E-013  , 
   8.9199999999999999       ,    1.9622495136675527E-012  ,    1.9622495136675527E-012  ,    1.9622495136675527E-012  ,    1.9622495136675527E-012  ,    1.9622495136675527E-012  ,    1.9622495136675527E-012  ,    9.5998976249825122E-013  ,    1.8924122836981671E-010  ,    1.8924122836981671E-010  ,    1.8924122836981671E-010  ,    1.8924122836981671E-010  ,    1.8924122836981671E-010  ,    1.8924122836981671E-010  ,    1.8924122836981671E-010  ,    1.8924122836981671E-010  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    1.4919143181226074E-007  ,    8.1971448528601536E-013  , 
