#           x                  Y_DM                       Y_eq_DM                  Y_Coannihilator                       Y_eq_Coannihilator
1.524737790237086221e+00   2.808182531603637191e-03   2.808182531603455913e-03   8.301569932016554174e-03   8.301569932016344272e-03
1.557224279471198125e+00   2.764518181860202341e-03   2.764518181860199306e-03   8.168508364716471973e-03   8.168508364716626363e-03
1.589710768705310029e+00   2.721044295898879337e-03   2.721044295897756104e-03   8.036107824554807044e-03   8.036107824551956894e-03
1.622197257939421933e+00   2.677783094018944526e-03   2.677783094017699428e-03   7.904435336373026241e-03   7.904435336369716389e-03
1.654683747173533837e+00   2.634755591878461083e-03   2.634755591876434926e-03   7.773554129084996392e-03   7.773554129079057566e-03
1.687170236407645740e+00   2.591981636955161504e-03   2.591981636953509180e-03   7.643523755685102325e-03   7.643523755680678780e-03
1.719656725641757644e+00   2.549479944788829965e-03   2.549479944787384940e-03   7.514400212273439350e-03   7.514400212269672398e-03
1.750975791253388980e+00   2.508779832177907357e-03   2.508779832176154852e-03   7.390824533557510505e-03   7.390824533552848435e-03
1.782294856865020316e+00   2.468364001567407897e-03   2.468364001565307581e-03   7.268184712918054902e-03   7.268184712912382356e-03
1.813613922476651652e+00   2.428246419994717180e-03   2.428246419993328100e-03   7.146522142067108715e-03   7.146522142063527379e-03
1.844932988088282988e+00   2.388440196635021120e-03   2.388440196632971978e-03   7.025875532129177529e-03   7.025875532123614271e-03
1.876252053699914324e+00   2.348957611274800350e-03   2.348957611273137618e-03   6.906281006269844244e-03   6.906281006265471874e-03
1.907571119311545660e+00   2.309810142361824834e-03   2.309810142359698497e-03   6.787772190788082458e-03   6.787772190782356135e-03
1.938079304060668084e+00   2.272008661615394255e-03   2.272008661613654761e-03   6.673405364372294798e-03   6.673405364367715129e-03
1.968587488809790509e+00   2.234544542543953106e-03   2.234544542542001976e-03   6.560125127200918185e-03   6.560125127195729627e-03
1.999095673558912933e+00   2.197426349164200744e-03   2.197426349161755218e-03   6.447956204631060707e-03   6.447956204624444472e-03
2.029603858308035136e+00   2.160662019379107519e-03   2.160662019377443052e-03   6.336921382480439381e-03   6.336921382476090429e-03
2.060112043057157116e+00   2.124258887397355213e-03   2.124258887394852441e-03   6.227041579269760631e-03   6.227041579262922351e-03
2.090620227806279097e+00   2.088223705670425468e-03   2.088223705668421429e-03   6.118335916812343844e-03   6.118335916807016509e-03
2.119954729766151846e+00   2.053927595063897125e-03   2.053927595061450298e-03   6.014935740324446611e-03   6.014935740317832111e-03
2.149289231726024596e+00   2.019982430567390796e-03   2.019982430565364206e-03   5.912651206762844364e-03   5.912651206757466721e-03
2.178623733685897346e+00   1.986392802220459351e-03   1.986392802218157807e-03   5.811494965144151613e-03   5.811494965137983804e-03
2.207958235645770095e+00   1.953162872452013452e-03   1.953162872449283431e-03   5.711478352074627132e-03   5.711478352067226802e-03
2.237292737605642845e+00   1.920296392179650889e-03   1.920296392177664848e-03   5.612611443194551360e-03   5.612611443189302954e-03
2.266627239565515595e+00   1.887796716527491382e-03   1.887796716524888429e-03   5.514903103335727814e-03   5.514903103328679633e-03
2.298965215549241936e+00   1.852398108730206805e-03   1.852398108727885528e-03   5.408542463699746693e-03   5.408542463693538117e-03
2.331303191532968277e+00   1.817452341311949840e-03   1.817452341309687327e-03   5.303607873532756659e-03   5.303607873526723290e-03
2.363641167516694619e+00   1.782962369507007589e-03   1.782962369504477928e-03   5.200106515615227944e-03   5.200106515608431297e-03
2.395979143500420960e+00   1.748930655390283379e-03   1.748930655387248697e-03   5.098044075134900398e-03   5.098044075126659594e-03
2.428317119484147302e+00   1.715359190205238997e-03   1.715359190202942223e-03   4.997424810449725870e-03   4.997424810443600561e-03
2.460655095467873643e+00   1.682249516032147596e-03   1.682249516029753894e-03   4.898251621659134060e-03   4.898251621652732930e-03
2.490302256255149338e+00   1.652301580143625314e-03   1.652301580140991787e-03   4.808602536544096841e-03   4.808602536537007893e-03
2.519949417042425033e+00   1.622743279509863664e-03   1.622743279507034547e-03   4.720170582231224266e-03   4.720170582223575002e-03
2.549596577829700728e+00   1.593574895406929320e-03   1.593574895404261966e-03   4.632955262449948292e-03   4.632955262442770006e-03
2.579243738616976422e+00   1.564796446229188391e-03   1.564796446226327615e-03   4.546955293048126658e-03   4.546955293040396730e-03
2.608890899404252117e+00   1.536407699530885308e-03   1.536407699527671733e-03   4.462168639835225464e-03   4.462168639826489397e-03
2.638538060191527812e+00   1.508408183707918597e-03   1.508408183704261583e-03   4.378592555244484666e-03   4.378592555234484852e-03
2.666150611843937757e+00   1.482679671527304668e-03   1.482679671524602186e-03   4.301837885846580313e-03   4.301837885839306617e-03
2.693763163496347701e+00   1.457287460319509759e-03   1.457287460316546200e-03   4.226127094292574278e-03   4.226127094284558988e-03
2.721375715148757646e+00   1.432230659789750010e-03   1.432230659786878609e-03   4.151456449171917092e-03   4.151456449164164612e-03
2.748988266801167590e+00   1.407508231163514135e-03   1.407508231160484874e-03   4.077821780754415683e-03   4.077821780746214778e-03
2.776600818453577535e+00   1.383118994204628584e-03   1.383118994201276665e-03   4.005218502870644924e-03   4.005218502861527217e-03
2.804213370105987480e+00   1.359061634024486074e-03   1.359061634020756852e-03   3.933641634112553138e-03   3.933641634102361638e-03
2.834968264713005670e+00   1.332655426622451639e-03   1.332655426619134414e-03   3.855120936783318960e-03   3.855120936774302735e-03
2.865723159320023861e+00   1.306656966064388432e-03   1.306656966060450826e-03   3.777858983911400095e-03   3.777858983900627462e-03
2.896478053927042051e+00   1.281063904815664921e-03   1.281063904812551526e-03   3.701847344893971752e-03   3.701847344885531021e-03
2.927232948534060242e+00   1.255873728941355860e-03   1.255873728937696027e-03   3.627077107540763873e-03   3.627077107530760156e-03
2.957987843141078432e+00   1.231083767961429262e-03   1.231083767958068018e-03   3.553538908542259837e-03   3.553538908533116544e-03
2.988742737748096623e+00   1.206691204369856512e-03   1.206691204366191691e-03   3.481222962848315363e-03   3.481222962838310779e-03
3.020403643834844498e+00   1.181992069535986976e-03   1.181992069531604414e-03   3.408042707892223154e-03   3.408042707880184173e-03
3.052064549921592373e+00   1.157707591111692153e-03   1.157707591107923900e-03   3.336135480846620389e-03   3.336135480836328274e-03
3.083725456008340249e+00   1.133834266938924104e-03   1.133834266934801533e-03   3.265489390365629904e-03   3.265489390354337721e-03
3.115386362095088124e+00   1.110368469181705455e-03   1.110368469178155126e-03   3.196092192716304490e-03   3.196092192706628636e-03
3.147047268181835999e+00   1.087306453403394380e-03   1.087306453399233212e-03   3.127931319561505757e-03   3.127931319550095179e-03
3.178708174268583875e+00   1.064644367267603706e-03   1.064644367263756523e-03   3.060993904547138714e-03   3.060993904536625856e-03
3.210789219509561754e+00   1.042085432423729956e-03   1.042085432419496797e-03   2.994402689353779529e-03   2.994402689342176831e-03
3.242870264750539633e+00   1.019928847018235088e-03   1.019928847014239370e-03   2.929040199259512912e-03   2.929040199248581985e-03
3.274951309991517512e+00   9.981703157142768172e-04   9.981703157100414898e-04   2.864892269148725402e-03   2.864892269137120969e-03
3.307032355232495391e+00   9.768054627783153126e-04   9.768054627736742768e-04   2.801944521173964451e-03   2.801944521161219438e-03
3.339113400473473270e+00   9.558298396110057743e-04   9.558298396069627844e-04   2.740182387547504799e-03   2.740182387536440299e-03
3.371194445714451149e+00   9.352389319565977428e-04   9.352389319519912930e-04   2.679591132314167266e-03   2.679591132301524167e-03
3.407915377977923654e+00   9.121362732316542305e-04   9.121362732272201689e-04   2.611654539893527600e-03   2.611654539881367622e-03
3.444636310241396160e+00   8.895247259334664860e-04   8.895247259290341591e-04   2.545209979515376027e-03   2.545209979503219953e-03
3.481357242504868665e+00   8.673972715646629042e-04   8.673972715599060756e-04   2.480234745868041806e-03   2.480234745854978037e-03
3.518078174768341171e+00   8.457468260226413221e-04   8.457468260172941454e-04   2.416705986414548462e-03   2.416705986399834104e-03
3.554799107031813676e+00   8.245662506627438092e-04   8.245662506582026284e-04   2.354600734403921886e-03   2.354600734391457898e-03
3.591520039295286182e+00   8.038483627766039152e-04   8.038483627719305701e-04   2.293895940046967140e-03   2.293895940034130620e-03
3.626152264563168082e+00   7.847263918488006076e-04   7.847263918438197828e-04   2.237906535174411307e-03   2.237906535160710461e-03
3.660784489831049981e+00   7.660034759893881136e-04   7.660034759840626210e-04   2.183122848801660482e-03   2.183122848786993395e-03
3.695416715098931881e+00   7.476735276590176305e-04   7.476735276539239403e-04   2.129525476995091596e-03   2.129525476981080235e-03
3.730048940366813781e+00   7.297304525466925514e-04   7.297304525413171854e-04   2.077095033091148468e-03   2.077095033076350843e-03
3.764681165634695681e+00   7.121681554694400586e-04   7.121681554635994615e-04   2.025812164975985662e-03   2.025812164959888730e-03
3.799313390902577581e+00   6.949805459465849137e-04   6.949805459414525174e-04   1.975657571354672362e-03   1.975657571340555183e-03
3.838991711621017711e+00   6.757413316815666458e-04   6.757413316753938491e-04   1.919557248759355033e-03   1.919557248742316579e-03
3.878670032339457840e+00   6.569768465528205530e-04   6.569768465469491645e-04   1.864883902390586856e-03   1.864883902374410993e-03
3.918348353057897970e+00   6.386780055319371584e-04   6.386780055263377963e-04   1.811608900886397958e-03   1.811608900870981687e-03
3.958026673776338100e+00   6.208357669633507133e-04   6.208357669573002146e-04   1.759703802363056036e-03   1.759703802346387512e-03
3.997704994494778230e+00   6.034411404982898937e-04   6.034411404926555119e-04   1.709140377059957744e-03   1.709140377044445196e-03
4.037383315213218360e+00   5.864851944639041604e-04   5.864851944581041124e-04   1.659890628250218795e-03   1.659890628234245895e-03
4.075143451606771272e+00   5.707482366443202872e-04   5.707482366381348053e-04   1.614216376465202243e-03   1.614216376448159235e-03
4.112903588000324184e+00   5.553929585024702494e-04   5.553929584958114049e-04   1.569683042074119031e-03   1.569683042055763271e-03
4.150663724393877096e+00   5.404118422515580755e-04   5.404118422452043255e-04   1.526267173679872772e-03   1.526267173662370063e-03
4.188423860787430009e+00   5.257974377331724571e-04   5.257974377264448742e-04   1.483945565480455833e-03   1.483945565461920095e-03
4.226183997180982921e+00   5.115423662724323355e-04   5.115423662661499260e-04   1.442695267813062440e-03   1.442695267795760959e-03
4.263944133574535833e+00   4.976393242283132755e-04   4.976393242213200631e-04   1.402493596772947347e-03   1.402493596753705794e-03
4.307826139836546275e+00   4.819149501108807663e-04   4.819149501040083882e-04   1.357061982665706519e-03   1.357061982646788709e-03
4.351708146098556718e+00   4.666450471740975973e-04   4.666450471671829353e-04   1.312981630328869569e-03   1.312981630309834231e-03
4.395590152360567160e+00   4.518185672396081388e-04   4.518185672321623804e-04   1.270218377709542721e-03   1.270218377689051300e-03
4.439472158622577602e+00   4.374246209180050055e-04   4.374246209110897472e-04   1.228738605085439488e-03   1.228738605066402199e-03
4.483354164884588045e+00   4.234524820352426108e-04   4.234524820281214083e-04   1.188509246149250425e-03   1.188509246129651085e-03
4.527236171146598487e+00   4.098915914899822744e-04   4.098915914822829753e-04   1.149497797401919427e-03   1.149497797380739537e-03
4.569146767137671539e+00   3.973143219453965686e-04   3.973143219379129173e-04   1.113346642069434162e-03   1.113346642048845163e-03
4.611057363128744591e+00   3.850937994973747513e-04   3.850937994895908302e-04   1.078249965034562335e-03   1.078249965013153679e-03
4.652967959119817642e+00   3.732212672158120555e-04   3.732212672074025498e-04   1.044180922317405631e-03   1.044180922294288922e-03
4.694878555110890694e+00   3.616881158137100053e-04   3.616881158060021952e-04   1.011113157190653405e-03   1.011113157169458336e-03
4.736789151101963746e+00   3.504858849196465552e-04   3.504858849111376824e-04   9.790208023588051981e-04   9.790208023354046458e-04
4.778699747093036798e+00   3.396062640456027661e-04   3.396062640373987709e-04   9.478784812529986951e-04   9.478784812304526025e-04
4.825133431134413620e+00   3.279193372233540882e-04   3.279193372159096309e-04   9.144544821743594504e-04   9.144544821537768479e-04
4.871567115175790441e+00   3.166075182453585192e-04   3.166075182381391964e-04   8.821329674095544724e-04   8.821329673822258556e-04
4.918000799217167263e+00   3.056601543996648445e-04   3.056601543912338174e-04   8.508815360512026133e-04   8.508815360280545716e-04
4.964434483258544084e+00   2.950668208405292522e-04   2.950668208318293429e-04   8.206685229652080143e-04   8.206685229413255341e-04
5.010868167299920906e+00   2.848173201645543538e-04   2.848173201556831406e-04   7.914629950155646718e-04   7.914629949912276941e-04
5.054055700710754273e+00   2.755842287846383114e-04   2.755842287749766064e-04   7.651770144641220888e-04   7.651770144376474981e-04
5.097243234121587641e+00   2.666321016555011194e-04   2.666321016462445265e-04   7.397126977341652665e-04   7.397126977087943936e-04
5.140430767532421008e+00   2.579532594462986481e-04   2.579532594366268600e-04   7.150468377786601366e-04   7.150468377521692828e-04
5.183618300943254376e+00   2.495401895535959364e-04   2.495401895434294810e-04   6.911567583479726962e-04   6.911567583201463222e-04
5.226805834354087743e+00   2.413855448170301613e-04   2.413855448075057162e-04   6.680203086569767856e-04   6.680203086309010729e-04
5.269993367764921111e+00   2.334821420908551935e-04   2.334821420808500675e-04   6.456158576609926725e-04   6.456158576336273013e-04
5.327802435786290758e+00   2.232839966550748047e-04   2.232839966448107712e-04   6.167351554158214712e-04   6.167351553877655716e-04
5.385611503807660405e+00   2.135070633182470086e-04   2.135070633076345938e-04   5.890790002707551546e-04   5.890790002417694432e-04
5.443420571829030052e+00   2.041354621922428485e-04   2.041354621819047911e-04   5.625997637547826150e-04   5.625997637265481473e-04
5.501229639850399700e+00   1.951538132932643520e-04   1.951538132825745523e-04   5.372513862319961298e-04   5.372513862028302240e-04
5.559038707871769347e+00   1.865472277112002796e-04   1.865472276996192928e-04   5.129893452708374647e-04   5.129893452392986740e-04
5.616847775893138994e+00   1.783012983699992391e-04   1.783012983586408119e-04   4.897706230163892871e-04   4.897706229854507107e-04
5.671890637920964373e+00   1.707723762849399989e-04   1.707723762730439701e-04   4.685945491908261365e-04   4.685945491584599370e-04
5.726933499948789752e+00   1.635461456209984774e-04   1.635461456086830521e-04   4.482920079741004211e-04   4.482920079406249743e-04
5.781976361976615131e+00   1.566113396158890902e-04   1.566113396042173827e-04   4.288295014542196568e-04   4.288295014224790419e-04
5.837019224004440510e+00   1.499570555641894132e-04   1.499570555519534598e-04   4.101746584367656342e-04   4.101746584035532691e-04
5.892062086032265888e+00   1.435727466441009709e-04   1.435727466309381331e-04   3.922962069166235780e-04   3.922962068810287870e-04
5.947104948060091267e+00   1.374482136720510839e-04   1.374482136588739889e-04   3.751639464807373986e-04   3.751639464452600809e-04
6.040597662908798071e+00   1.276130849219717436e-04   1.276130849069846273e-04   3.476922923844676344e-04   3.476922923465124811e-04
6.134090377757504875e+00   1.184529792087180949e-04   1.184529791955534140e-04   3.221535598320594980e-04   3.221535597964394993e-04
6.227583092606211679e+00   1.099243861379471242e-04   1.099243861252922487e-04   2.984196013130914048e-04   2.984196012789162682e-04
6.321075807454918483e+00   1.019863154716307342e-04   1.019863154576202942e-04   2.763699603985719181e-04   2.763699603607718599e-04
6.414568522303625286e+00   9.460018123904458739e-05   9.460018122483115769e-05   2.558914963241732819e-04   2.558914962858727018e-04
6.452400818234221624e+00   9.175986223714980260e-05   9.175986222241191721e-05   2.480268941542944838e-04   2.480268941146169669e-04
6.490233114164817962e+00   8.900165024776480972e-05   8.900165023260207971e-05   2.403953769346201452e-04   2.403953768937997979e-04
6.528065410095414300e+00   8.632330040947657119e-05   8.632330039491984243e-05   2.329903927781401757e-04   2.329903927389852714e-04
6.565897706026010638e+00   8.372262389274541799e-05   8.372262387750221307e-05   2.258055589317738132e-04   2.258055588908130888e-04
6.603730001956606976e+00   8.119748672465943915e-05   8.119748671006114479e-05   2.188346580486374168e-04   2.188346580094427765e-04
6.641562297887203314e+00   7.874580864519620661e-05   7.874580863037060926e-05   2.120716345589801868e-04   2.120716345191666838e-04
6.705427338083834954e+00   7.476814966358309429e-05   7.476814964843169419e-05   2.011101932302866203e-04   2.011101931897643744e-04
6.769292378280466593e+00   7.098464786352286259e-05   7.098464784737918711e-05   1.906970262148132051e-04   1.906970261715746533e-04
6.833157418477098233e+00   6.738628157019190760e-05   6.738628155387351294e-05   1.808059630944556682e-04   1.808059630507895883e-04
6.897022458673729872e+00   6.396441695939015072e-05   6.396441694365099107e-05   1.714119949470157016e-04   1.714119949049068342e-04
6.960887498870361512e+00   6.071079361884463860e-05   6.071079360233986959e-05   1.624912291378235833e-04   1.624912290937334178e-04
7.024752539066993151e+00   5.761751047175483993e-05   5.761751045432200741e-05   1.540208453709564706e-04   1.540208453244688359e-04
7.095377047911323842e+00   5.437443148657851411e-05   5.437443146903255187e-05   1.451521288708003247e-04   1.451521288240610467e-04
7.166001556755654534e+00   5.130845265952428842e-05   5.130845264174527015e-05   1.367794880419728417e-04   1.367794879946624602e-04
7.236626065599985225e+00   4.841030450818998389e-05   4.841030448962475641e-05   1.288762712583617646e-04   1.288762712090381823e-04
7.307250574444315916e+00   4.567117248739375654e-05   4.567117246881055841e-05   1.214171748572347365e-04   1.214171748079049200e-04
7.377875083288646607e+00   4.308267700822550691e-05   4.308267698925091180e-05   1.143781815722014423e-04   1.143781815218972939e-04
7.448499592132977298e+00   4.063685413631721823e-05   4.063685411658312594e-05   1.077365012150863888e-04   1.077365011628560198e-04
7.519360099733704672e+00   3.831863382482833053e-05   3.831863380504667565e-05   1.014501817349923972e-04   1.014501816826833964e-04
7.590220607334432046e+00   3.612916439343798246e-05   3.612916437325948247e-05   9.552136114388422967e-05   9.552136109059512368e-05
7.661081114935159420e+00   3.406155296487314122e-05   3.406155294392986536e-05   8.993040643331381761e-05   8.993040637809681043e-05
7.731941622535886793e+00   3.210925636503078731e-05   3.210925634401476148e-05   8.465870962648347172e-05   8.465870957112932652e-05
7.802802130136614167e+00   3.026606486822938736e-05   3.026606484679357538e-05   7.968863841704816272e-05   7.968863836066222297e-05
7.873662637737341541e+00   2.852608657324549792e-05   2.852608655105630435e-05   7.500348883339983839e-05   7.500348877512649239e-05
7.945978568891777449e+00   2.685098489500104018e-05   2.685098487272340621e-05   7.049945061809168630e-05   7.049945055965263355e-05
8.018294500046213358e+00   2.527192881332031529e-05   2.527192879064021531e-05   6.625976896762433464e-05   6.625976890820490562e-05
8.090610431200648378e+00   2.378358492309867094e-05   2.378358489958434514e-05   6.226939375215959018e-05   6.226939369065494223e-05
8.162926362355083398e+00   2.238090280221040646e-05   2.238090277857955943e-05   5.851409569000291425e-05   5.851409562826636224e-05
8.235242293509518419e+00   2.105910102232161438e-05   2.105910099823121471e-05   5.498042442023236287e-05   5.498042435737745631e-05
8.307558224663953439e+00   1.981365376288613401e-05   1.981365373799270305e-05   5.165566847009561490e-05   5.165566840524914415e-05
8.382159698632309031e+00   1.860432308367091097e-05   1.860432305865309153e-05   4.843204437015400797e-05   4.843204430505682902e-05
8.456761172600664622e+00   1.746724774358689674e-05   1.746724771814915563e-05   4.540552590378002046e-05   4.540552583768020522e-05
8.531362646569020214e+00   1.639823016517347491e-05   1.639823013881446689e-05   4.256437923562368604e-05   4.256437916724932307e-05
8.605964120537375805e+00   1.539330732255548225e-05   1.539330729606451666e-05   3.989754388714685527e-05   3.989754381850127234e-05
8.680565594505731397e+00   1.444873837567928677e-05   1.444873834868557155e-05   3.739459613053651698e-05   3.739459606069215882e-05
8.755167068474086989e+00   1.356099288933991283e-05   1.356099286147088054e-05   3.504571418728084188e-05   3.504571411529807789e-05
8.832732135510118709e+00   1.269465833379577149e-05   1.269465830578249796e-05   3.275695361564028653e-05   3.275695354336518775e-05
8.910297202546150430e+00   1.188262348409042883e-05   1.188262345563839223e-05   3.061495952799043075e-05   3.061495945469046276e-05
8.987862269582182151e+00   1.112156803134231072e-05   1.112156800185392592e-05   2.861053949473969633e-05   2.861053941891395403e-05
9.000000000000000000e+00   1.100688178150299474e-05   1.100688175193229359e-05   2.830875836169814653e-05   2.830875828567830493e-05
9.000000000000000000e+00   1.100688178150299474e-05   1.100688175193229359e-05   2.830875836169814653e-05   2.830875828567830493e-05
9.000000000167846181e+00   1.100688199947853640e-05   1.100688175035441012e-05   2.830875813789517575e-05   2.830875828152680672e-05
9.000000000168364878e+00   1.100688194475514613e-05   1.100688175034953121e-05   2.830875819262549813e-05   2.830875828151395893e-05
9.000000000168883574e+00   1.100688188986266607e-05   1.100688175034465908e-05   2.830875824752498654e-05   2.830875828150113824e-05
9.000000000169480430e+00   1.100688183962213162e-05   1.100688175033904494e-05   2.830875829776777580e-05   2.830875828148639986e-05
9.000000000170077286e+00   1.100688181205735695e-05   1.100688175033343928e-05   2.830875832532459005e-05   2.830875828147163100e-05
9.000000000170674141e+00   1.100688179847566137e-05   1.100688175032782345e-05   2.830875833889202498e-05   2.830875828145684519e-05
9.000000000171270997e+00   1.100688179089296991e-05   1.100688175032221270e-05   2.830875834645775037e-05   2.830875828144207294e-05
9.000000000171867853e+00   1.100688178625048735e-05   1.100688175031660026e-05   2.830875835108194379e-05   2.830875828142734473e-05
9.000000000172464709e+00   1.100688178349783526e-05   1.100688175031099460e-05   2.830875835381545464e-05   2.830875828141256570e-05
9.000000000173061565e+00   1.100688178193999767e-05   1.100688175030538046e-05   2.830875835535361226e-05   2.830875828139784426e-05
9.000000000173658421e+00   1.100688178105939342e-05   1.100688175029976972e-05   2.830875835621423161e-05   2.830875828138306862e-05
9.000000000174255277e+00   1.100688178055046214e-05   1.100688175029415728e-05   2.830875835670301367e-05   2.830875828136829298e-05
9.000000000174852133e+00   1.100688178025319763e-05   1.100688175028854823e-05   2.830875835698003071e-05   2.830875828135351733e-05
