#           x                  Y_DM                       Y_eq_DM                  Y_Partner                       Y_eq_Partner
2.953493283633346955e+00   1.234681741381313388e-03   1.234681741316582615e-03   3.564209378145300703e-03   3.564209378137877821e-03
2.984466017382815917e+00   1.210059510408306857e-03   1.210059510342218229e-03   3.491206297529134746e-03   3.491206297520003596e-03
3.015438751132284878e+00   1.185837753649879181e-03   1.185837753583271871e-03   3.419433980830585088e-03   3.419433980822394158e-03
3.046411484881753839e+00   1.162013338049792087e-03   1.162013337982092118e-03   3.348881706644378162e-03   3.348881706635213184e-03
3.078343635279015889e+00   1.137863479935019703e-03   1.137863479866716918e-03   3.277409592231373976e-03   3.277409592222840437e-03
3.110275785676277938e+00   1.114128796569333751e-03   1.114128796500000323e-03   3.207210001884876639e-03   3.207210001875514336e-03
3.142207936073539987e+00   1.090805465663234348e-03   1.090805465592803057e-03   3.138270094783799161e-03   3.138270094773318395e-03
3.174140086470802036e+00   1.067889551854943721e-03   1.067889551784363461e-03   3.070576717386916572e-03   3.070576717378319716e-03
3.206072236868064085e+00   1.045377015494537622e-03   1.045377015422687328e-03   3.004116430232245914e-03   3.004116430221863594e-03
3.238004387265326134e+00   1.023263721058102500e-03   1.023263720985888130e-03   2.938875533558033774e-03   2.938875533548632440e-03
3.270439368873252484e+00   1.001206586607711552e-03   1.001206586534492994e-03   2.873841299269653572e-03   2.873841299259165868e-03
3.302874350481178833e+00   9.795524986105882178e-04   9.795524985369546273e-04   2.810035954269566368e-03   2.810035954259762579e-03
3.335309332089105183e+00   9.582968693544926652e-04   9.582968692800473325e-04   2.747444468526957610e-03   2.747444468516491590e-03
3.367744313697031533e+00   9.374350415621017681e-04   9.374350414867215278e-04   2.686051633393377741e-03   2.686051633381767671e-03
3.400179295304957883e+00   9.169622957110585117e-04   9.169622956356871619e-04   2.625842083669792208e-03   2.625842083659903417e-03
3.432614276912884232e+00   8.968738570304041809e-04   8.968738569540219210e-04   2.566800318652287874e-03   2.566800318640821785e-03
3.469721692907255850e+00   8.743567055125169669e-04   8.743567054357564289e-04   2.500665431563063503e-03   2.500665431552098750e-03
3.506829108901627468e+00   8.523289552365922615e-04   8.523289551593450251e-04   2.436015035198235094e-03   2.436015035187287688e-03
3.543936524895999085e+00   8.307832561578815589e-04   8.307832560798967397e-04   2.372825463258610140e-03   2.372825463246763279e-03
3.581043940890370703e+00   8.097122089955966287e-04   8.097122089166776610e-04   2.311072953083428971e-03   2.311072953069937159e-03
3.618151356884742320e+00   7.891083758457915088e-04   7.891083757672639381e-04   2.250733677162233826e-03   2.250733677151010598e-03
3.655258772879113938e+00   7.689642902114929854e-04   7.689642901325465874e-04   2.191783772825019357e-03   2.191783772813431837e-03
3.690296798847053417e+00   7.503588517873449907e-04   7.503588517078777420e-04   2.137375166876265362e-03   2.137375166863818288e-03
3.725334824814992896e+00   7.321503284135401661e-04   7.321503283335593307e-04   2.084163927712399510e-03   2.084163927698979256e-03
3.760372850782932375e+00   7.143324079126344740e-04   7.143324078327325686e-04   2.032130008865006433e-03   2.032130008852255348e-03
3.795410876750871854e+00   6.968987822600320814e-04   6.968987821797692451e-04   1.981253414853677113e-03   1.981253414840138463e-03
3.830448902718811333e+00   6.798431531971178225e-04   6.798431531163672036e-04   1.931514217516194570e-03   1.931514217501354444e-03
3.865486928686750812e+00   6.631592375204505441e-04   6.631592374403673601e-04   1.882892571336790754e-03   1.882892571323944043e-03
3.905683950394125414e+00   6.444685310520991426e-04   6.444685309710245641e-04   1.828462852898399358e-03   1.828462852882583450e-03
3.945880972101500017e+00   6.262493996761034657e-04   6.262493995953135988e-04   1.775448382852709605e-03   1.775448382837664782e-03
3.986077993808874620e+00   6.084924783311513544e-04   6.084924782507261046e-04   1.723819738497318768e-03   1.723819738483064112e-03
4.026275015516249667e+00   5.911884614424859795e-04   5.911884613617406732e-04   1.673547736025008574e-03   1.673547736009358983e-03
4.066472037223624270e+00   5.743281103679149287e-04   5.743281102878450804e-04   1.624603451561494214e-03   1.624603451547144582e-03
4.106669058930998872e+00   5.579022602829424287e-04   5.579022602030016004e-04   1.576958240488029930e-03   1.576958240473210838e-03
4.144990677927739675e+00   5.426390006876418174e-04   5.426390006076585969e-04   1.532719516155867925e-03   1.532719516139955523e-03
4.183312296924480478e+00   5.277545881237218853e-04   5.277545880436616864e-04   1.489611411591471903e-03   1.489611411574205332e-03
4.221633915921221281e+00   5.132412989508302378e-04   5.132412988715207404e-04   1.447609899236265620e-03   1.447609899219862942e-03
4.259955534917962083e+00   4.990914886330923310e-04   4.990914885539152147e-04   1.406691232123222180e-03   1.406691232105755033e-03
4.298277153914702886e+00   4.852975952656744655e-04   4.852975951874954658e-04   1.366831953342271871e-03   1.366831953326059796e-03
4.336598772911443689e+00   4.718521427981656885e-04   4.718521427199063494e-04   1.328008904590729893e-03   1.328008904572548039e-03
4.381211482340767738e+00   4.566285389450121463e-04   4.566285388676233673e-04   1.284087465660406231e-03   1.284087465642517112e-03
4.425824191770091787e+00   4.418556633456233889e-04   4.418556632690182171e-04   1.241503931543645745e-03   1.241503931525612427e-03
4.470436901199415836e+00   4.275221898123597901e-04   4.275221897361133265e-04   1.200223369642699957e-03   1.200223369623151142e-03
4.515049610628739885e+00   4.136169694148727626e-04   4.136169693401073734e-04   1.160211445650112918e-03   1.160211445632055097e-03
4.559662320058063933e+00   4.001290342800617982e-04   4.001290342060914002e-04   1.121434432592790511e-03   1.121434432574140065e-03
4.604275029487387982e+00   3.870476008277278033e-04   3.870476007542311475e-04   1.083859218207746311e-03   1.083859218187465442e-03
4.646975707858248761e+00   3.748977740227245076e-04   3.748977739504839543e-04   1.048990056321427418e-03   1.048990056301719875e-03
4.689676386229109539e+00   3.631015132878805747e-04   3.631015132164169606e-04   1.015164161617670676e-03   1.015164161597087748e-03
4.732377064599970318e+00   3.516498496023966755e-04   3.516498495314235003e-04   9.823541068978871964e-04   9.823541068755337665e-04
4.775077742970831096e+00   3.405339753426732852e-04   3.405339752735585951e-04   9.505329936306065311e-04   9.505329936102170250e-04
4.817778421341691875e+00   3.297452450981902192e-04   3.297452450294458383e-04   9.196744526552178781e-04   9.196744526325721474e-04
4.860479099712552653e+00   3.192751761867678611e-04   3.192751761195280276e-04   8.897526440189976920e-04   8.897526439971794243e-04
4.919374968191140951e+00   3.053416201534520178e-04   3.053416200875731291e-04   8.499726486438392153e-04   8.499726486211367808e-04
4.978270836669729249e+00   2.919771575794338357e-04   2.919771575153858934e-04   8.118618357498951638e-04   8.118618357275611411e-04
5.037166705148317547e+00   2.791610555312380748e-04   2.791610554686301156e-04   7.753573266454727789e-04   7.753573266223509749e-04
5.059829807267617774e+00   2.743712419407131026e-04   2.743712418788266799e-04   7.617254040904760217e-04   7.617254040674972240e-04
5.082492909386918001e+00   2.696585102280321189e-04   2.696585101669588479e-04   7.483188740290071424e-04   7.483188740064224522e-04
5.105156011506218228e+00   2.650217481928926738e-04   2.650217481320417726e-04   7.351343749785873780e-04   7.351343749547558553e-04
5.127819113625518455e+00   2.604598563085057058e-04   2.604598562484294671e-04   7.221685858378419165e-04   7.221685858142939127e-04
5.150482215744818681e+00   2.559717476779659463e-04   2.559717476181333821e-04   7.094182256948880884e-04   7.094182256701464864e-04
5.192579798796446156e+00   2.478270766288766897e-04   2.478270765699656431e-04   6.862946579326600124e-04   6.862946579070084395e-04
5.234677381848073630e+00   2.399265216238819257e-04   2.399265215658409514e-04   6.638828530427160791e-04   6.638828530160156491e-04
5.276774964899701104e+00   2.322634592080425448e-04   2.322634591517280811e-04   6.421628699333524004e-04   6.421628699079622287e-04
5.318872547951328578e+00   2.248314123171091825e-04   2.248314122616878303e-04   6.211152302037311777e-04   6.211152301773814870e-04
5.360970131002956052e+00   2.176240487702180636e-04   2.176240487159249051e-04   6.007209124378457736e-04   6.007209124112070347e-04
5.410170924499670519e+00   2.094770443413709209e-04   2.094770442881389795e-04   5.776885634630928371e-04   5.776885634354480669e-04
5.459371717996384987e+00   2.016188598111717844e-04   2.016188597592087118e-04   5.554943854894555874e-04   5.554943854614197455e-04
5.508572511493099455e+00   1.940401204215905923e-04   1.940401203706376709e-04   5.341103180384791996e-04   5.341103180094003552e-04
5.557773304989813923e+00   1.867317077692618843e-04   1.867317077191036289e-04   5.135091025388916494e-04   5.135091025082438561e-04
5.606974098486528391e+00   1.796847556435041994e-04   1.796847555953278385e-04   4.936642676694261156e-04   4.936642676405114194e-04
5.656174891983242858e+00   1.728906457406887375e-04   1.728906456933418454e-04   4.745501144151025702e-04   4.745501143848545223e-04
5.725286978334299448e+00   1.637580235146232318e-04   1.637580234686497800e-04   4.488869745242137247e-04   4.488869744927870948e-04
5.794399064685356038e+00   1.550853955198084298e-04   1.550853954750329943e-04   4.245498251567879811e-04   4.245498251238664532e-04
5.863511151036412627e+00   1.468512481835440087e-04   1.468512481408941516e-04   4.014747984807289904e-04   4.014747984489877249e-04
5.932623237387469217e+00   1.390349478594267278e-04   1.390349478180010975e-04   3.796007432268733942e-04   3.796007431940519924e-04
6.001735323738525807e+00   1.316167150218893345e-04   1.316167149814826103e-04   3.588691385092367364e-04   3.588691384749569200e-04
6.070847410089582397e+00   1.245775983003687311e-04   1.245775982627432836e-04   3.392240077266906015e-04   3.392240076959054940e-04
6.177263004160364446e+00   1.144387472534155758e-04   1.144387472162559423e-04   3.109769943235579778e-04   3.109769942881296118e-04
6.283678598231146495e+00   1.050932134814560557e-04   1.050932134462049568e-04   2.849951280692685331e-04   2.849951280335211406e-04
6.324236886048328898e+00   1.017277784306483066e-04   1.017277783953338225e-04   2.756525169487766824e-04   2.756525169108898880e-04
6.364795173865511302e+00   9.846594702951821443e-05   9.846594699501654317e-05   2.666048054896346113e-04   2.666048054520171870e-04
6.405353461682693705e+00   9.530471126038771211e-05   9.530471122670007339e-05   2.578431884465373506e-04   2.578431884092284359e-04
6.445911749499876109e+00   9.224114234413992015e-05   9.224114231049144823e-05   2.493591006538041889e-04   2.493591006148256572e-04
6.486470037317058512e+00   8.927238902785625653e-05   8.927238899490427609e-05   2.411442115521703880e-04   2.411442115133098987e-04
6.527028325134240916e+00   8.639567589649148750e-05   8.639567586449158564e-05   2.331904198013218059e-04   2.331904197633160203e-04
6.597241846899469131e+00   8.162526637587664332e-05   8.162526634479458636e-05   2.200152178930474365e-04   2.200152178546950857e-04
6.667455368664697346e+00   7.710913369701233343e-05   7.710913366575737333e-05   2.075596825043291309e-04   2.075596824628874815e-04
6.737668890429925561e+00   7.283439855240474365e-05   7.283439852206171955e-05   1.957863628090305793e-04   1.957863627675256667e-04
6.807882412195153776e+00   6.878878299918584000e-05   6.878878296940557104e-05   1.846596140370904832e-04   1.846596139947383750e-04
6.878095933960381991e+00   6.496058637389598705e-05   6.496058634428191272e-05   1.741455217277542138e-04   1.741455216836401958e-04
6.948309455725610206e+00   6.133866184198218064e-05   6.133866181314144063e-05   1.642118282124374509e-04   1.642118281682965447e-04
7.012495877898492047e+00   5.819908274703009682e-05   5.819908271843879784e-05   1.556125482628640231e-04   1.556125482175969832e-04
7.076682300071373888e+00   5.521526844578767237e-05   5.521526841781875964e-05   1.474503304326183124e-04   1.474503303873069828e-04
7.140868722244255729e+00   5.237982333799909800e-05   5.237982330975429648e-05   1.397038699017964845e-04   1.397038698541675644e-04
7.205055144417137569e+00   4.968568011438770967e-05   4.968568008652762374e-05   1.323528368447348617e-04   1.323528367966184842e-04
7.269241566590019410e+00   4.712608680771584389e-05   4.712608678006107875e-05   1.253778363913143911e-04   1.253778363423238215e-04
7.333427988762901251e+00   4.469459422499997832e-05   4.469459419798968327e-05   1.187603698647187079e-04   1.187603698160871719e-04
7.392417415229572519e+00   4.256764637555724589e-05   4.256764634805215486e-05   1.129788342697542197e-04   1.129788342186705029e-04
7.451406841696243788e+00   4.053911788838799533e-05   4.053911786182480494e-05   1.074712923231351956e-04   1.074712922734295405e-04
7.510396268162915057e+00   3.860462766355497234e-05   3.860462763681236003e-05   1.022252288109172123e-04   1.022252287597026052e-04
7.569385694629586325e+00   3.675997873891209201e-05   3.675997871187915069e-05   9.722867012982052933e-05   9.722867007687344847e-05
7.628375121096257594e+00   3.500115125684376656e-05   3.500115123036640432e-05   9.247016282679715782e-05   9.247016277437853065e-05
7.687364547562928863e+00   3.332429565194795269e-05   3.332429562471864881e-05   8.793875285353928626e-05   8.793875279829234154e-05
7.758983840897336393e+00   3.139329968289699020e-05   3.139329965582782976e-05   8.272733847628735860e-05   8.272733842046776540e-05
7.830603134231743923e+00   2.957142415067919426e-05   2.957142412378096168e-05   7.781742440137968465e-05   7.781742434508400472e-05
7.902222427566151453e+00   2.785270860061039229e-05   2.785270857324327276e-05   7.319212240118413179e-05   7.319212234281847953e-05
7.973841720900558983e+00   2.623150261941907017e-05   2.623150259228211660e-05   6.883544766954526051e-05   6.883544761097897663e-05
8.045461014234966513e+00   2.470245091075008181e-05   2.470245088347579709e-05   6.473227383949575980e-05   6.473227377983693895e-05
8.117080307569374042e+00   2.326047898573489913e-05   2.326047895796666884e-05   6.086828995109846432e-05   6.086828988948056468e-05
8.190619837941923720e+00   2.186541316889302792e-05   2.186541314129269311e-05   5.713539492369774898e-05   5.713539486186090149e-05
8.264159368314473397e+00   2.055216579384573300e-05   2.055216576609047248e-05   5.362657011599953287e-05   5.362657005316298999e-05
8.337698898687023075e+00   1.931607885777859637e-05   1.931607882938504231e-05   5.032874076932252025e-05   5.032874070429084744e-05
8.411238429059572752e+00   1.815274873371101251e-05   1.815274870542056947e-05   4.722956569494455984e-05   4.722956562966194166e-05
8.484777959432122429e+00   1.705801312999510582e-05   1.705801310143231119e-05   4.431739846451314418e-05   4.431739839806508999e-05
8.558317489804672107e+00   1.602793864303388469e-05   1.602793861382884936e-05   4.158125044462834737e-05   4.158125037610769164e-05
8.634511822741409048e+00   1.502491757813249792e-05   1.502491754898603322e-05   3.892093204865814938e-05   3.892093197987677691e-05
8.710706155678145990e+00   1.408342142519370270e-05   1.408342139579398361e-05   3.642758372438167881e-05   3.642758365458095978e-05
8.786900488614882931e+00   1.319977355451740480e-05   1.319977352430320763e-05   3.409098336726339222e-05   3.409098329504869706e-05
8.863094821551619873e+00   1.237050934442079706e-05   1.237050931421378782e-05   3.190151394809970724e-05   3.190151387559431715e-05
8.939289154488356814e+00   1.159236457982525458e-05   1.159236454923235745e-05   2.985012940279424629e-05   2.985012932903027027e-05
9.000000000000000000e+00   1.100688178251911410e-05   1.100688175193229359e-05   2.830875835962943458e-05   2.830875828567830493e-05
9.000000000000000000e+00   1.100688178251911410e-05   1.100688175193229359e-05   2.830875835962943458e-05   2.830875828567830493e-05
9.000000002685546008e+00   1.100688159855885537e-05   1.100688172668602089e-05   2.830875846445467798e-05   2.830875821925420821e-05
9.000000002766714857e+00   1.100688163540325714e-05   1.100688172592296618e-05   2.830875842234507536e-05   2.830875821724659444e-05
9.000000002847883707e+00   1.100688167654446901e-05   1.100688172515990977e-05   2.830875837565134738e-05   2.830875821523900438e-05
9.000000002929052556e+00   1.100688170875902765e-05   1.100688172439686522e-05   2.830875833847986214e-05   2.830875821323137705e-05
9.000000003010221405e+00   1.100688173002011198e-05   1.100688172363381390e-05   2.830875831299277289e-05   2.830875821122375312e-05
9.000000003091390255e+00   1.100688174237289320e-05   1.100688172287075918e-05   2.830875829700837010e-05   2.830875820921610546e-05
