#  19,b1b1x_az                                          ,[1000005, -1000005]_[22, 23]
#  20,b1b1x_ddx                                         ,[1000005, -1000005]_[1, -1]
#  21,b1b1x_uux                                         ,[1000005, -1000005]_[2, -2]
#  22,b1b1x_ssx                                         ,[1000005, -1000005]_[3, -3]
#  23,b1b1x_ccx                                         ,[1000005, -1000005]_[4, -4]
#  24,b1b1x_ttx                                         ,[1000005, -1000005]_[6, -6]
#  25,b1b1x_zz                                          ,[1000005, -1000005]_[23, 23]
#  26,b1b1x_emep                                        ,[1000005, -1000005]_[11, -11]
#  27,b1b1x_tamtap                                      ,[1000005, -1000005]_[15, -15]
#  28,b1b1x_vevex                                       ,[1000005, -1000005]_[12, -12]
#  29,b1b1x_zh                                          ,[1000005, -1000005]_[23, 25]
#  31,b1b1x_xdxdx                                       ,[1000005, -1000005]_[57, -57]
x,  1,  2, 30,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31
0.99100E+01,0.22478E-19,0.22478E-19,0.00000E+00,0.15753E-13,0.15753E-13,0.15753E-13,0.15753E-13,0.15753E-13,0.15753E-13,0.15753E-13,0.15753E-13,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.12481E-07,0.00000E+00
0.10900E+02,0.23049E-19,0.23049E-19,0.00000E+00,0.16143E-13,0.16143E-13,0.16143E-13,0.16143E-13,0.16143E-13,0.16143E-13,0.16143E-13,0.16143E-13,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.12724E-07,0.00000E+00
0.11890E+02,0.23541E-19,0.23541E-19,0.00000E+00,0.16479E-13,0.16479E-13,0.16479E-13,0.16479E-13,0.16479E-13,0.16479E-13,0.16479E-13,0.16479E-13,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.12933E-07,0.00000E+00
0.12880E+02,0.23968E-19,0.23968E-19,0.00000E+00,0.16770E-13,0.16770E-13,0.16770E-13,0.16770E-13,0.16770E-13,0.16770E-13,0.16770E-13,0.16770E-13,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.13115E-07,0.00000E+00
0.13870E+02,0.24343E-19,0.24343E-19,0.00000E+00,0.17025E-13,0.17025E-13,0.17025E-13,0.17025E-13,0.17025E-13,0.17025E-13,0.17025E-13,0.17025E-13,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.13275E-07,0.00000E+00
0.14860E+02,0.24674E-19,0.24674E-19,0.00000E+00,0.17251E-13,0.17251E-13,0.17251E-13,0.17251E-13,0.17251E-13,0.17251E-13,0.17251E-13,0.17251E-13,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.13416E-07,0.00000E+00
0.15850E+02,0.24969E-19,0.24969E-19,0.00000E+00,0.17452E-13,0.17452E-13,0.17452E-13,0.17452E-13,0.17452E-13,0.17452E-13,0.17452E-13,0.17452E-13,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.13541E-07,0.00000E+00
0.16840E+02,0.25233E-19,0.25233E-19,0.00000E+00,0.17632E-13,0.17632E-13,0.17632E-13,0.17632E-13,0.17632E-13,0.17632E-13,0.17632E-13,0.17632E-13,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.13654E-07,0.00000E+00
0.17830E+02,0.25472E-19,0.25472E-19,0.00000E+00,0.17794E-13,0.17794E-13,0.17794E-13,0.17794E-13,0.17794E-13,0.17794E-13,0.17794E-13,0.17794E-13,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.13755E-07,0.00000E+00
0.18820E+02,0.25687E-19,0.25687E-19,0.00000E+00,0.17941E-13,0.17941E-13,0.17941E-13,0.17941E-13,0.17941E-13,0.17941E-13,0.17941E-13,0.17941E-13,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.13847E-07,0.00000E+00
0.19810E+02,0.25884E-19,0.25884E-19,0.00000E+00,0.18075E-13,0.18075E-13,0.18075E-13,0.18075E-13,0.18075E-13,0.18075E-13,0.18075E-13,0.18075E-13,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.13930E-07,0.00000E+00
0.20800E+02,0.26063E-19,0.26063E-19,0.00000E+00,0.18197E-13,0.18197E-13,0.18197E-13,0.18197E-13,0.18197E-13,0.18197E-13,0.18197E-13,0.18197E-13,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.14007E-07,0.00000E+00
0.21790E+02,0.26227E-19,0.26227E-19,0.00000E+00,0.18309E-13,0.18309E-13,0.18309E-13,0.18309E-13,0.18309E-13,0.18309E-13,0.18309E-13,0.18309E-13,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.14077E-07,0.00000E+00
0.22780E+02,0.26379E-19,0.26379E-19,0.00000E+00,0.18412E-13,0.18412E-13,0.18412E-13,0.18412E-13,0.18412E-13,0.18412E-13,0.18412E-13,0.18412E-13,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.14142E-07,0.00000E+00
0.23770E+02,0.26519E-19,0.26519E-19,0.00000E+00,0.18507E-13,0.18507E-13,0.18507E-13,0.18507E-13,0.18507E-13,0.18507E-13,0.18507E-13,0.18507E-13,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.14201E-07,0.00000E+00
0.24760E+02,0.26648E-19,0.26648E-19,0.00000E+00,0.18595E-13,0.18595E-13,0.18595E-13,0.18595E-13,0.18595E-13,0.18595E-13,0.18595E-13,0.18595E-13,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.14257E-07,0.00000E+00
0.25750E+02,0.26769E-19,0.26769E-19,0.00000E+00,0.18677E-13,0.18677E-13,0.18677E-13,0.18677E-13,0.18677E-13,0.18677E-13,0.18677E-13,0.18677E-13,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.14308E-07,0.00000E+00
0.26740E+02,0.26881E-19,0.26881E-19,0.00000E+00,0.18753E-13,0.18753E-13,0.18753E-13,0.18753E-13,0.18753E-13,0.18753E-13,0.18753E-13,0.18753E-13,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.14356E-07,0.00000E+00
0.27730E+02,0.26986E-19,0.26986E-19,0.00000E+00,0.18824E-13,0.18824E-13,0.18824E-13,0.18824E-13,0.18824E-13,0.18824E-13,0.18824E-13,0.18824E-13,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.14401E-07,0.00000E+00
0.28720E+02,0.27084E-19,0.27084E-19,0.00000E+00,0.18891E-13,0.18891E-13,0.18891E-13,0.18891E-13,0.18891E-13,0.18891E-13,0.18891E-13,0.18891E-13,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.14442E-07,0.00000E+00
0.29710E+02,0.27176E-19,0.27176E-19,0.00000E+00,0.18954E-13,0.18954E-13,0.18954E-13,0.18954E-13,0.18954E-13,0.18954E-13,0.18954E-13,0.18954E-13,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.14482E-07,0.00000E+00
