# x,Y(xd),D(xd -> xd),C(xdxdx_ddx),C(xdxdx_uux),C(xdxdx_ssx),C(xdxdx_ccx),C(xdxdx_bbx),C(xdxdx_ttx)
1.1619e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.1781e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.1945e-01,7.8030e-03,0.0000e+00,1.6041e-31,1.6041e-31,1.6041e-31,1.6041e-31,1.6041e-31,1.6041e-31
1.2111e-01,7.8030e-03,0.0000e+00,2.7091e-32,2.7091e-32,2.7091e-32,2.7091e-32,2.7091e-32,2.7091e-32
1.2280e-01,7.8030e-03,0.0000e+00,8.2360e-32,8.2360e-32,8.2360e-32,8.2360e-32,8.2360e-32,8.2360e-32
1.2451e-01,7.8030e-03,0.0000e+00,8.3461e-32,8.3461e-32,8.3461e-32,8.3461e-32,8.3461e-32,8.3461e-32
1.2624e-01,7.8030e-03,0.0000e+00,8.4578e-32,8.4578e-32,8.4578e-32,8.4578e-32,8.4578e-32,8.4578e-32
1.2800e-01,7.8030e-03,0.0000e+00,5.7140e-32,5.7140e-32,5.7140e-32,5.7140e-32,5.7140e-32,5.7140e-32
1.2978e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.3159e-01,7.8030e-03,0.0000e+00,8.8022e-32,8.8022e-32,8.8022e-32,8.8022e-32,8.8022e-32,8.8022e-32
1.3342e-01,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
1.3528e-01,7.8030e-03,0.0000e+00,9.0399e-32,9.0399e-32,9.0399e-32,9.0399e-32,9.0399e-32,9.0399e-32
1.3716e-01,7.8030e-03,0.0000e+00,1.8322e-31,1.8322e-31,1.8322e-31,1.8322e-31,1.8322e-31,1.8322e-31
