# x xvxv ->  SM  xvxs ->  SM  xsxs ->  SM  xsxv ->  SM 
1.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00 -0.000000000000000000e+00
1.000000000007242429e+00 -1.498381687101370692e+08 -1.970251269771074355e+08 -4.486934298975763522e+04 -1.970251269771074355e+08
1.000000000014484858e+00 -2.397100681722063124e+08 -2.743428908567078114e+08 -4.784920620533530018e+04 -2.743428908567078114e+08
1.000000000086909147e+00 -4.464973701684287786e+08 -2.882519781000835299e+08 4.138130935699269321e+04 -2.882519781000835299e+08
1.000000000159333435e+00 -4.875913155735623837e+08 -2.684629560162138343e+08 7.232558014559985895e+04 -2.684629560162138343e+08
1.000000000883576323e+00 -4.982315638651784062e+08 -2.630426022896893024e+08 8.051043148041555833e+04 -2.630426022896893024e+08
1.000000001607819211e+00 -4.954690852504454851e+08 -2.640023157923905253e+08 7.864313071666809265e+04 -2.640023157923905253e+08
1.000000008850248090e+00 -4.951978198153316975e+08 -2.640834183419147432e+08 7.847774981166633370e+04 -2.640834183419147432e+08
1.000000016092676969e+00 -4.952199639324839711e+08 -2.640834183419147730e+08 7.848376366275732289e+04 -2.640834183419147730e+08
1.000000088516965757e+00 -4.952144279031957984e+08 -2.640699012503274083e+08 7.848977751384829753e+04 -2.640699012503274083e+08
1.000000160941254546e+00 -4.952144279031959176e+08 -2.640699012503274083e+08 7.849579136493925762e+04 -2.640699012503274083e+08
1.000000885184142430e+00 -4.952251235971321464e+08 -2.640833810830489695e+08 7.849573596211694530e+04 -2.640833810830489695e+08
1.000001609427030314e+00 -4.952247472317459583e+08 -2.640833438241092861e+08 7.848966671658300038e+04 -2.640833438241092861e+08
1.000008851855909153e+00 -4.952221126531414390e+08 -2.640695659350390136e+08 7.849529273558265413e+04 -2.640695659350390136e+08
1.000016094284787993e+00 -4.952305499618996978e+08 -2.640828221911943853e+08 7.849189801500808971e+04 -2.640828221911943853e+08
1.000085460323042019e+00 -4.953149145576592088e+08 -2.641342815195950270e+08 7.850906677863610093e+04 -2.641342815195950270e+08
1.000154826361296045e+00 -4.954158698300306201e+08 -2.641992562116171718e+08 7.852623292336596933e+04 -2.641992562116171718e+08
1.000259341169535965e+00 -4.955146886197826862e+08 -2.642223738007613420e+08 7.856851227197622939e+04 -2.642223738007613420e+08
1.000363855977775884e+00 -4.956407724524868131e+08 -2.642995180276930034e+08 7.859269085531875317e+04 -2.642995180276930034e+08
1.000468370786015804e+00 -4.957616643236879706e+08 -2.643631801417590678e+08 7.862593702712489176e+04 -2.643631801417590678e+08
1.001513518868414998e+00 -4.969624286557138562e+08 -2.649860567769948840e+08 7.891885272686544340e+04 -2.649860567769948840e+08
1.002558666950814192e+00 -4.981550306123320460e+08 -2.656087291103148460e+08 7.921723693991587788e+04 -2.656087291103148460e+08
1.003603815033213387e+00 -4.993619512054775357e+08 -2.662447453144403994e+08 7.951513466482827789e+04 -2.662447453144403994e+08
1.004648963115612581e+00 -5.005717401673340201e+08 -2.668805538655561209e+08 7.980949317754049844e+04 -2.668805538655561209e+08
1.011690990480030861e+00 -5.200640350551275015e+08 -2.839535509569400549e+08 7.973316299963122583e+04 -2.839535509569400549e+08
1.018733017844449140e+00 -5.284834116911590695e+08 -2.860412573131028414e+08 8.320487164547198336e+04 -2.860412573131028414e+08
1.025775045208867420e+00 -5.690734428093323708e+08 -3.203519516923380494e+08 8.325445650829758961e+04 -3.203519516923380494e+08
1.032817072573285699e+00 -5.419951469495288134e+08 -2.904983626690871716e+08 8.846494634570599010e+04 -2.904983626690871716e+08
1.045618375368826403e+00 -5.179592604785333872e+08 -2.630946234385845661e+08 9.410406549074938812e+04 -2.630946234385845661e+08
1.058419678164367106e+00 -5.494995139751940966e+08 -2.849312335435402393e+08 9.785489177409424155e+04 -2.849312335435402393e+08
1.071220980959907809e+00 -5.561976429165878296e+08 -2.802601281398733258e+08 1.049743821852318360e+05 -2.802601281398733258e+08
1.084022283755448512e+00 -5.493277278636587858e+08 -2.662420342301210463e+08 1.108649750888179842e+05 -2.662420342301210463e+08
1.096823586550989216e+00 -5.942204102972375154e+08 -3.088100418326489925e+08 1.098074258706355176e+05 -3.088100418326489925e+08
1.125416338068995437e+00 -6.238853364219138622e+08 -3.215290785336908102e+08 1.202264259964864614e+05 -3.215290785336908102e+08
1.154009089587001657e+00 -6.835622308925684690e+08 -3.619621987261089087e+08 1.304071501278808719e+05 -3.619621987261089087e+08
1.182601841105007878e+00 -7.045935738362679482e+08 -3.676190406673477888e+08 1.413758425955120765e+05 -3.676190406673477888e+08
1.211194592623014099e+00 -7.428738200342527628e+08 -3.901160203774586320e+08 1.520904669587561511e+05 -3.901160203774586320e+08
1.239787344141020320e+00 -7.970843454914609194e+08 -4.204408706446712017e+08 1.669938519157846167e+05 -4.204408706446712017e+08
1.268380095659026541e+00 -8.261100015393074751e+08 -4.324640966519361734e+08 1.796903479206670600e+05 -4.324640966519361734e+08
1.296306680268853428e+00 -8.662255984901598692e+08 -4.549602605918383598e+08 1.928603150288665784e+05 -4.549602605918383598e+08
1.324233264878680316e+00 -8.888325739485166073e+08 -4.639487864682707787e+08 2.046516548309146601e+05 -4.639487864682707787e+08
1.352159849488507204e+00 -9.525750296506158113e+08 -4.998552485033451319e+08 2.239757383728940622e+05 -4.998552485033451319e+08
1.380086434098334092e+00 -9.886079607532655001e+08 -5.172761197311630845e+08 2.393248438565051474e+05 -5.172761197311630845e+08
