 x ,            1  ,            2  ,            3  ,            4  ,            5  ,            6  ,            7  ,            8  ,            9  ,           10  ,           11  ,           12  ,           13  ,           14  ,           15  ,           16  ,           17  ,           18  , 
   1.0000000000000000       ,    1.7823601725804022E-010  ,    1.7823601725804022E-010  ,    1.7823601725804022E-010  ,    1.7823601725804022E-010  ,    1.7823601725804022E-010  ,    1.7823601725804022E-010  ,    8.7038288422507795E-010  ,    8.7038288422507795E-010  ,    8.7038288422507795E-010  ,    8.7038288422507795E-010  ,    8.7038288422507795E-010  ,    8.7038288422507795E-010  ,    7.7447918792879317E-013  ,    7.7447918792879317E-013  ,    7.7447918792879317E-013  ,    7.7447918792879317E-013  ,    7.7447918792879317E-013  ,    7.7447918792879317E-013  , 
   1.9900000000000000       ,    4.3006998068444511E-011  ,    4.3006998068444511E-011  ,    4.3006998068444511E-011  ,    4.3006998068444511E-011  ,    4.3006998068444511E-011  ,    4.3006998068444511E-011  ,    7.4778938151121016E-010  ,    7.4778938151121016E-010  ,    7.4778938151121016E-010  ,    7.4778938151121016E-010  ,    7.4778938151121016E-010  ,    7.4778938151121016E-010  ,    2.2876671176309240E-013  ,    2.2876671176309240E-013  ,    2.2876671176309240E-013  ,    2.2876671176309240E-013  ,    2.2876671176309240E-013  ,    2.2876671176309240E-013  , 
   2.9800000000000000       ,    2.2747571385792258E-011  ,    2.2747571385792258E-011  ,    2.2747571385792258E-011  ,    2.2747571385792258E-011  ,    2.2747571385792258E-011  ,    2.2747571385792258E-011  ,    7.3838594158750350E-010  ,    7.3838594158750350E-010  ,    7.3838594158750350E-010  ,    7.3838594158750350E-010  ,    7.3838594158750350E-010  ,    7.3838594158750350E-010  ,    1.9129794835570225E-013  ,    1.9129794835570225E-013  ,    1.9129794835570225E-013  ,    1.9129794835570225E-013  ,    1.9129794835570225E-013  ,    1.9129794835570225E-013  , 
   3.9700000000000002       ,    1.6419678754856084E-011  ,    1.6419678754856084E-011  ,    1.6419678754856084E-011  ,    1.6419678754856084E-011  ,    1.6419678754856084E-011  ,    1.6419678754856084E-011  ,    7.4703027275141884E-010  ,    7.4703027275141884E-010  ,    7.4703027275141884E-010  ,    7.4703027275141884E-010  ,    7.4703027275141884E-010  ,    7.4703027275141884E-010  ,    1.9268697788099917E-013  ,    1.9268697788099917E-013  ,    1.9268697788099917E-013  ,    1.9268697788099917E-013  ,    1.9268697788099917E-013  ,    1.9268697788099917E-013  , 
   4.9600000000000000       ,    1.3674707672533823E-011  ,    1.3674707672533823E-011  ,    1.3674707672533823E-011  ,    1.3674707672533823E-011  ,    1.3674707672533823E-011  ,    1.3674707672533823E-011  ,    7.5845664866850190E-010  ,    7.5845664866850190E-010  ,    7.5845664866850190E-010  ,    7.5845664866850190E-010  ,    7.5845664866850190E-010  ,    7.5845664866850190E-010  ,    1.9865313915252666E-013  ,    1.9865313915252666E-013  ,    1.9865313915252666E-013  ,    1.9865313915252666E-013  ,    1.9865313915252666E-013  ,    1.9865313915252666E-013  , 
   5.9500000000000002       ,    1.2233861318062056E-011  ,    1.2233861318062056E-011  ,    1.2233861318062056E-011  ,    1.2233861318062056E-011  ,    1.2233861318062056E-011  ,    1.2233861318062056E-011  ,    7.6930109064058171E-010  ,    7.6930109064058171E-010  ,    7.6930109064058171E-010  ,    7.6930109064058171E-010  ,    7.6930109064058171E-010  ,    7.6930109064058171E-010  ,    2.0448085442589481E-013  ,    2.0448085442589481E-013  ,    2.0448085442589481E-013  ,    2.0448085442589481E-013  ,    2.0448085442589481E-013  ,    2.0448085442589481E-013  , 
   6.9400000000000004       ,    1.1378377233885012E-011  ,    1.1378377233885012E-011  ,    1.1378377233885012E-011  ,    1.1378377233885012E-011  ,    1.1378377233885012E-011  ,    1.1378377233885012E-011  ,    7.7886602284840778E-010  ,    7.7886602284840778E-010  ,    7.7886602284840778E-010  ,    7.7886602284840778E-010  ,    7.7886602284840778E-010  ,    7.7886602284840778E-010  ,    2.0947587791765762E-013  ,    2.0947587791765762E-013  ,    2.0947587791765762E-013  ,    2.0947587791765762E-013  ,    2.0947587791765762E-013  ,    2.0947587791765762E-013  , 
   7.9299999999999997       ,    1.0825076530316545E-011  ,    1.0825076530316545E-011  ,    1.0825076530316545E-011  ,    1.0825076530316545E-011  ,    1.0825076530316545E-011  ,    1.0825076530316545E-011  ,    7.8713808253548524E-010  ,    7.8713808253548524E-010  ,    7.8713808253548524E-010  ,    7.8713808253548524E-010  ,    7.8713808253548524E-010  ,    7.8713808253548524E-010  ,    2.1365599753078763E-013  ,    2.1365599753078763E-013  ,    2.1365599753078763E-013  ,    2.1365599753078763E-013  ,    2.1365599753078763E-013  ,    2.1365599753078763E-013  , 
   8.9199999999999999       ,    1.0444114834395514E-011  ,    1.0444114834395514E-011  ,    1.0444114834395514E-011  ,    1.0444114834395514E-011  ,    1.0444114834395514E-011  ,    1.0444114834395514E-011  ,    7.9427269380071984E-010  ,    7.9427269380071984E-010  ,    7.9427269380071984E-010  ,    7.9427269380071984E-010  ,    7.9427269380071984E-010  ,    7.9427269380071984E-010  ,    2.1715767858179916E-013  ,    2.1715767858179916E-013  ,    2.1715767858179916E-013  ,    2.1715767858179916E-013  ,    2.1715767858179916E-013  ,    2.1715767858179916E-013  , 
   9.9100000000000001       ,    1.0169029441651409E-011  ,    1.0169029441651409E-011  ,    1.0169029441651409E-011  ,    1.0169029441651409E-011  ,    1.0169029441651409E-011  ,    1.0169029441651409E-011  ,    8.0044790801155330E-010  ,    8.0044790801155330E-010  ,    8.0044790801155330E-010  ,    8.0044790801155330E-010  ,    8.0044790801155330E-010  ,    8.0044790801155330E-010  ,    2.2011476024374826E-013  ,    2.2011476024374826E-013  ,    2.2011476024374826E-013  ,    2.2011476024374826E-013  ,    2.2011476024374826E-013  ,    2.2011476024374826E-013  , 
