 x ,            1  ,            2  ,            3  ,            4  ,            5  ,            6  , 
   1.0000000000000000       ,    1.0338348815610895E-014  ,    1.0338348815610895E-014  ,    1.0338348815610895E-014  ,    1.0338348815610895E-014  ,    1.0338348815610895E-014  ,    1.0338348815610895E-014  , 
   2.0000000000000000       ,    2.4942131282312600E-015  ,    2.4942131282312600E-015  ,    2.4942131282312600E-015  ,    2.4942131282312600E-015  ,    2.4942131282312600E-015  ,    2.4942131282312600E-015  , 
   3.0000000000000000       ,    1.7871185790107601E-015  ,    1.7871185790107601E-015  ,    1.7871185790107601E-015  ,    1.7871185790107601E-015  ,    1.7871185790107601E-015  ,    1.7871185790107601E-015  , 
   4.0000000000000000       ,    1.5317207657247504E-015  ,    1.5317207657247504E-015  ,    1.5317207657247504E-015  ,    1.5317207657247504E-015  ,    1.5317207657247504E-015  ,    1.5317207657247504E-015  , 
   5.0000000000000000       ,    1.4083141344232804E-015  ,    1.4083141344232804E-015  ,    1.4083141344232804E-015  ,    1.4083141344232804E-015  ,    1.4083141344232804E-015  ,    1.4083141344232804E-015  , 
   6.0000000000000000       ,    1.3383068797959081E-015  ,    1.3383068797959081E-015  ,    1.3383068797959081E-015  ,    1.3383068797959081E-015  ,    1.3383068797959081E-015  ,    1.3383068797959081E-015  , 
   7.0000000000000000       ,    1.2942899476399887E-015  ,    1.2942899476399887E-015  ,    1.2942899476399887E-015  ,    1.2942899476399887E-015  ,    1.2942899476399887E-015  ,    1.2942899476399887E-015  , 
   8.0000000000000000       ,    1.2645541421917201E-015  ,    1.2645541421917201E-015  ,    1.2645541421917201E-015  ,    1.2645541421917201E-015  ,    1.2645541421917201E-015  ,    1.2645541421917201E-015  , 
   9.0000000000000000       ,    1.2433721688499336E-015  ,    1.2433721688499336E-015  ,    1.2433721688499336E-015  ,    1.2433721688499336E-015  ,    1.2433721688499336E-015  ,    1.2433721688499336E-015  , 
   10.000000000000000       ,    1.2276556597475076E-015  ,    1.2276556597475076E-015  ,    1.2276556597475076E-015  ,    1.2276556597475076E-015  ,    1.2276556597475076E-015  ,    1.2276556597475076E-015  , 
